name,ALIGN,EYE,HAIR,SEX,Publisher
Big Barda (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Niles Caulder (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,DC
James Corrigan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Samuel Bradley (New Earth),Good Characters,Grey Eyes,Grey Hair,Male Characters,DC
Richard Tyler (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
James Ewell Brown Stuart (New Earth),Good Characters,,Brown Hair,Male Characters,DC
Todd Rice (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Yz (New Earth),Good Characters,Red Eyes,,Male Characters,DC
Matrix (Pocket Universe),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Wolfgang Winks (New Earth),Good Characters,,Black Hair,Male Characters,DC
William Glenmorgan (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Stephanie Brown (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Raymond Terrill (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,DC
Adam Blake (New Earth),Good Characters,Hazel Eyes,Brown Hair,Male Characters,DC
Kimiyo Hoshi (New Earth),,Black Eyes,Black Hair,Female Characters,DC
Jack Ryder (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Vandar Adg (New Earth),,Brown Eyes,Black Hair,Male Characters,DC
Justin Arthur (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Max Mercury (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,DC
Abigail Arcane (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
Thomas Haukins (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Margaret Sawyer (New Earth),,Blue Eyes,,Female Characters,DC
Waylon Jones (New Earth),Bad Characters,Red Eyes,,Male Characters,DC
Travis Morgan (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Gorilla Grodd (New Earth),Bad Characters,Grey Eyes,Black Hair,Male Characters,DC
Talia al Ghul (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,DC
Adam Strange (New Earth),,Blue Eyes,Blond Hair,Male Characters,DC
Patrick Dugan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Daniel Cassidy (New Earth),Good Characters,Yellow Eyes,,Male Characters,DC
James Harper Clone (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Thomas Kalmaku (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Gabrielle Doe (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Henry Hall (New Earth),Good Characters,Red Eyes,Brown Hair,Male Characters,DC
Connor Hawke (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,DC
Linda Park (New Earth),,Brown Eyes,Black Hair,Female Characters,DC
Cyrus Gold (New Earth),Bad Characters,Black Eyes,White Hair,Male Characters,DC
Edward Nashton (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,DC
Arisia Rrab (New Earth),Good Characters,Yellow Eyes,Blond Hair,Female Characters,DC
Robert Crane (New Earth),Good Characters,Red Eyes,,Male Characters,DC
Joan Williams (New Earth),,Blue Eyes,Grey Hair,Female Characters,DC
William Magnus (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Mary Batson (New Earth),Good Characters,Blue Eyes,Brown Hair,Female Characters,DC
Jean Loring (New Earth),Bad Characters,Green Eyes,Black Hair,Female Characters,DC
Oberon (New Earth),,Blue Eyes,White Hair,Male Characters,DC
Grant Emerson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Rita Farr (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,DC
Jason Rusch (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Hector Hall (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Mercury (New Earth),Good Characters,Photocellular Eyes,,Male Characters,DC
Jaime Reyes (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Platinum (New Earth),Good Characters,Photocellular Eyes,,Female Characters,DC
Andre Chavard (New Earth),Good Characters,,Brown Hair,Male Characters,DC
Daniel Leong (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Vril Dox II (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,DC
"Roy Raymond, Sr. (New Earth)",Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Uncle Sam (New Earth),,Blue Eyes,White Hair,Male Characters,DC
Metron (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,DC
Iron (New Earth),Good Characters,Photocellular Eyes,,Male Characters,DC
Lead (New Earth),Good Characters,Photocellular Eyes,,Male Characters,DC
Lucas Carr (New Earth),,Blue Eyes,Brown Hair,Male Characters,DC
Hartley Rathaway (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Lana Lang (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,DC
Rose Wilson (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
DeSaad (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,DC
Charles Taine (Pre-Zero Hour),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Bane (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,DC
Salakk (New Earth),Good Characters,White Eyes,,Male Characters,DC
Tin (New Earth),Good Characters,Photocellular Eyes,,Male Characters,DC
Samuel Morgan (New Earth),Good Characters,,Red Hair,Male Characters,DC
Eve Eden (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,DC
Harleen Quinzel (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,DC
Benjamin Turner (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,DC
Mark Mardon (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,DC
Teth-Adam (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,DC
Catherine Grant (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Terrence Sloane (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Jason Blood (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Gold (New Earth),Good Characters,Photocellular Eyes,,Male Characters,DC
Victor Fries (New Earth),Bad Characters,Blue Eyes,,Male Characters,DC
Thomas Wayne (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Arthur Light (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,DC
Lester Davis (New Earth),Good Characters,,Black Hair,Male Characters,DC
Artemis of Bana-Mighdall (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,DC
Alanna Strange (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Nuidis Vulko (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Steven Dayton (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Lee Travis (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Martin Stein (New Earth),Good Characters,Brown Eyes,Grey Hair,Male Characters,DC
Solis (New Earth),,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
Alfred Twidgett (New Earth),,,,Male Characters,DC
Tubby Watts (New Earth),Good Characters,,Red Hair,Male Characters,DC
Unknown Soldier I (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Giovanni Giuseppe (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,DC
Cynthia Reynolds (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Victoria Vale (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Lucius Fox (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Ganthet (New Earth),Good Characters,Green Eyes,White Hair,Male Characters,DC
Izaya (New Earth),Good Characters,Grey Eyes,White Hair,Male Characters,DC
Barbara Ann Minerva (New Earth),,Brown Eyes,,Female Characters,DC
Rory Regan (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Eclipso (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,DC
Mick Rory (New Earth),,Blue Eyes,,Male Characters,DC
Kyle Morgan (New Earth),Good Characters,Brown Eyes,Blond Hair,Male Characters,DC
Matthew Ryan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Dinah Drake (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Robert Langstrom (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,DC
Sargent Steel (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Victory (New Earth),Good Characters,Black Eyes,White Hair,Male Characters,DC
Katma Tui (New Earth),Good Characters,,Black Hair,Female Characters,DC
Walter Haley (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Charles Victor Szasz (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
Ares (New Earth),Bad Characters,Red Eyes,Blond Hair,Male Characters,DC
Rip Carter (New Earth),Good Characters,,Black Hair,Male Characters,DC
Eradicator (New Earth),Good Characters,Photocellular Eyes,Black Hair,Male Characters,DC
Emil Hamilton (New Earth),Bad Characters,Hazel Eyes,Grey Hair,Male Characters,DC
Richard Swift (New Earth),Neutral Characters,Grey Eyes,Black Hair,Male Characters,DC
Frederick Freeman (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Katar Hol (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Richard Occult (New Earth),,Grey Eyes,Black Hair,Male Characters,DC
Maxima (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,DC
Dawn Granger (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
Inza Cramer (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,DC
Linda Danvers (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Dubbilex (New Earth),Good Characters,Green Eyes,,Male Characters,DC
Gunner MacKay (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Antonia Monetti (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Jack Knight (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Skeets (New Earth),Good Characters,,,Male Characters,DC
Nimue Inwudu (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,DC
Khaji Da (New Earth),Good Characters,,,,DC
Sarge Clay (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
Elizabeth Lawrence (New Earth),,Blue Eyes,Blond Hair,Female Characters,DC
Pallas Athena (New Earth),Neutral Characters,Grey Eyes,Brown Hair,Female Characters,DC
Crispus Allen (New Earth),Good Characters,Brown Eyes,,Male Characters,DC
Evan McCulloch (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,DC
Terrence Long (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Strata (New Earth),Good Characters,White Eyes,,Female Characters,DC
Granny Goodness (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,DC
Dolphin (New Earth),Good Characters,Blue Eyes,Silver Hair,Female Characters,DC
Zeus (New Earth),Neutral Characters,Blue Eyes,White Hair,Male Characters,DC
Holly Robinson (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Martha Kane (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Jason Woodrue (New Earth),Bad Characters,Red Eyes,Green Hair,Male Characters,DC
John Sargent (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Dian Belmont (New Earth),Good Characters,Hazel Eyes,Brown Hair,Female Characters,DC
Edward Bloomberg (New Earth),Good Characters,Yellow Eyes,Grey Hair,Male Characters,DC
Leslie Thompkins (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
Tara Markov (Team Titans),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Dmitri Pushkin (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
June Moone (New Earth),Good Characters,Green Eyes,Black Hair,Female Characters,DC
Mia Dearden (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Krypto (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Ohiyesa I (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Donald Richards (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Zauriel (New Earth),Good Characters,Red Eyes,White Hair,Male Characters,DC
Leonid Kovar (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,DC
Thomas Blake (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,DC
Emily Briggs (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Lilith Clay (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,DC
Thomas Tresser (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Hans von Hammer (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
William Polk (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Lyla Michaels (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,DC
Bruce Gordon (New Earth),Good Characters,,Brown Hair,Male Characters,DC
Sugar Plumm (New Earth),Good Characters,,Blond Hair,Female Characters,DC
Jervis Tetch (New Earth),Bad Characters,Blue Eyes,Red Hair,Male Characters,DC
Enya Wazzo (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Werner Vertigo (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,DC
Sapphire Stagg (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,DC
Zinda Blake (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Cecil Wilson (New Earth),Good Characters,,Red Hair,Male Characters,DC
Aphrodite (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,DC
Sarah Essen (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Jade Nguyen (New Earth),Bad Characters,Green Eyes,Black Hair,Female Characters,DC
Rip Hunter (New Earth),,Blue Eyes,Blond Hair,Male Characters,DC
Wing How (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Jack Drake (New Earth),Good Characters,Black Eyes,Brown Hair,Male Characters,DC
Vril Dox I (New Earth),Bad Characters,Green Eyes,,Male Characters,DC
Adolf Hitler (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,DC
Grace Choi (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,DC
Lawrence Jordan (New Earth),,Brown Eyes,Brown Hair,Male Characters,DC
Natasha Irons (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Katherine Spencer (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Stealth (New Earth),Good Characters,Pink Eyes,White Hair,Female Characters,DC
Lorraine Reilly (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Noah Kuttler (New Earth),Bad Characters,Green Eyes,Brown Hair,Male Characters,DC
Despero (New Earth),Bad Characters,Yellow Eyes,,Male Characters,DC
Jan Haasan (New Earth),Good Characters,,Blond Hair,Male Characters,DC
Tef\u00e9 Holland (New Earth),Bad Characters,Blue Eyes,White Hair,Female Characters,DC
Hippolyta Trevor (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Jeffrey Franklin Burr (New Earth),Bad Characters,Black Eyes,,Male Characters,DC
Bizarro (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,DC
Henry Henshaw (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,DC
Charles Dickles (New Earth),Good Characters,,,Male Characters,DC
Maxine Hunkel (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,DC
Dream (New Earth),Neutral Characters,Black Eyes,Black Hair,Male Characters,DC
Wade Eiling (New Earth),Bad Characters,Red Eyes,Brown Hair,Male Characters,DC
Black Manta (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,DC
Felix Faust (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,DC
Virgil Hawkins (Dakotaverse),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
James Harper (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Soranik Natu (New Earth),Good Characters,Purple Eyes,Black Hair,Female Characters,DC
Anissa Pierce (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Roman Sionis (New Earth),Bad Characters,Black Eyes,,Male Characters,DC
"Henry King, Jr. (New Earth)",Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
Orm Marius (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,DC
Citizen Abra (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,DC
Abin Sur (New Earth),Good Characters,Blue Eyes,,Male Characters,DC
Merlin (New Earth),Neutral Characters,Black Eyes,White Hair,Male Characters,DC
William Payton (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Danette Reilly (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Jonathan Tane (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Ronald Troupe (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
William Storm (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Hermes (New Earth),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,DC
Timothy Hunter (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,DC
Taghurrhu (New Earth),Good Characters,Green Eyes,Orange Hair,Male Characters,DC
Sandra Wu-San (New Earth),Neutral Characters,Brown Eyes,Black Hair,Female Characters,DC
Eobard Thawne (New Earth),Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
William Zard (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,DC
Arnold Wesker (New Earth),Bad Characters,Blue Eyes,White Hair,Male Characters,DC
Philippus (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
David Clinton (New Earth),,Blue Eyes,Black Hair,Male Characters,DC
Bobo T. Chimpanzee (New Earth),,Black Eyes,Black Hair,Male Characters,DC
Miriam Delgado (Team Titans),Good Characters,Black Eyes,Black Hair,Female Characters,DC
Mister Bones (New Earth),Neutral Characters,,,Male Characters,DC
